id,food_name,disposal_rate,energy(KJ),energy(Kcal),moisture,protein_by_amino_acid_composition,protein,fatty_acid_tria_silglycerol_equivalent,cholesterol,lipid,available_carbohydrates(single_sugar),available_carbohydrates_(mass_meters),available_carbohydrates_by_the_dispatch_method,total_amount_of_dietary_fiber,sugar_alcohol,carbohydrate,organic_acid,ash,sodium,potassium,calcium,magnesium,rin,iron,zinc,copper,manganese
1,アマランサス　玄穀,0,1452,343,13.5,11.3,12.7,5,0,6,63.5,57.8,59.9,7.4,0,64.9,0,2.9,1,600,160,270,540,9.4,5.8,0.92,6.14
2,あわ　精白粒,0,1466,346,13.3,10.2,11.2,4.1,0,4.4,69.6,63.3,67.6,3.3,0,69.7,0,1.4,1,300,14,110,280,4.8,2.5,0.49,0.88
3,あわ　あわもち,0,890,210,48,4.5,5.1,1.2,0,1.3,44.5,40.5,44.6,1.5,0,45.3,0,0.3,0,62,5,12,39,0.7,1.1,0.2,0.46
4,えんばく　オートミール,0,1479,350,10,12.2,13.7,5.1,0,5.7,63.1,57.4,61.8,9.4,0,69.1,0,1.5,3,260,47,100,370,3.9,2.1,0.28,0
5,おおむぎ　七分つき押麦,0,1454,343,14,9.7,10.9,1.8,0,2.1,71.3,64.9,63.3,10.3,0,72.1,0,0.9,2,220,23,46,180,1.3,1.4,0.32,0.85
6,おおむぎ　押麦　乾,0,1395,329,12.7,5.9,6.7,1.2,0,1.5,72.4,65.8,67.2,12.2,0,78.3,0,0.7,2,210,21,40,160,1.1,1.1,0.22,0.86
7,おおむぎ　押麦　めし,0,500,118,68.6,2,2.2,0.4,0,0.5,24.2,22,24.6,4.2,0,28.5,0,0.2,0,38,6,10,46,0.4,0.4,0.08,0.24
8,おおむぎ　米粒麦,0,1407,333,14,6.2,7,1.8,0,2.1,68.8,62.5,68.6,8.7,0,76.2,0,0.7,2,170,17,25,140,1.2,1.2,0.37,0
9,おおむぎ　大麦めん　乾,0,1457,343,14,11.7,12.9,1.4,0,1.7,72.2,65.7,63.2,6.3,0,68,0,3.4,1100,240,27,63,200,2.1,1.5,0.33,0.9
10,おおむぎ　大麦めん　ゆで,0,516,121,70,4.4,4.8,0.5,0,0.6,25.2,22.9,22.3,2.5,0,24.3,0,0.3,64,10,12,18,61,0.9,0.6,0.13,0.27
11,おおむぎ　麦こがし,0,1553,368,3.5,11.1,12.5,4.2,0,5,80.1,72.8,63.8,15.5,0,77.1,0,1.9,2,490,43,130,340,3.1,3.8,0.41,1.81
12,キヌア　玄穀,0,1455,344,12.2,9.7,13.4,2.7,0,3.2,60.7,55.4,67.1,6.2,0,69,0,2.2,35,580,46,180,410,4.3,2.8,0.47,2.45
13,きび　精白粒,0,1496,353,13.8,10,11.3,2.9,0,3.3,71.5,65,70.9,1.6,0.1,70.9,0,0.7,2,200,9,84,160,2.1,2.7,0.38,0
14,こむぎ　［玄穀］　国産　普通,0,1391,329,12.5,9.5,10.8,2.5,0,3.1,64.3,58.5,59.8,14,0,72.1,0,1.6,2,440,26,82,350,3.2,2.6,0.38,3.9
15,こむぎ　［玄穀］　輸入　軟質,0,1457,344,10,0,10.1,2.7,0,3.3,68.4,62.2,64.6,11.2,0,75.2,0,1.4,2,390,36,110,290,2.9,1.7,0.32,3.79
16,こむぎ　［玄穀］　輸入　硬質,0,1406,332,13,0,13,2.5,0,3,62.6,57,58.5,11.4,0,69.4,0,1.6,2,340,26,140,320,3.2,3.1,0.43,4.09
17,こむぎ　［小麦粉］　薄力粉　1等,0,1485,349,14,7.7,8.3,1.3,0,1.5,80.3,73.1,74.1,2.5,0,75.8,0,0.4,0,110,20,12,60,0.5,0.3,0.08,0.43
18,こむぎ　［小麦粉］　薄力粉　2等,0,1467,345,14,8.3,9.3,1.6,0,1.9,77.7,70.7,72.9,2.6,0,74.3,0,0.5,0,130,23,30,77,0.9,0.7,0.18,0.77
19,こむぎ　［小麦粉］　中力粉　1等,0,1435,337,14,8.3,9,1.4,0,1.6,76.4,69.5,73.2,2.8,0,75.1,0,0.4,1,100,17,18,64,0.5,0.5,0.11,0.43
20,こむぎ　［小麦粉］　中力粉　2等,0,1466,346,14,8.9,9.7,1.6,0,1.8,73.1,66.5,73,2.1,0,74,0,0.5,1,110,24,26,80,1.1,0.6,0.14,0.77
21,こむぎ　［小麦粉］　強力粉　1等,0,1432,337,14.5,11,11.8,1.3,0,1.5,73.5,66.8,70.1,2.7,0,71.7,0,0.4,0,89,17,23,64,0.9,0.8,0.15,0.32
22,こむぎ　［小麦粉］　強力粉　2等,0,1455,343,14.5,11.9,12.6,1.5,0,1.7,70,63.6,69.5,2.1,0,70.6,0,0.5,0,86,21,36,86,1,1,0.19,0.58
23,こむぎ　［小麦粉］　強力粉　全粒粉,0,1356,320,14.5,11.7,12.8,2.4,0,2.9,61.2,55.6,58.6,11.2,0,68.2,0,1.6,2,330,26,140,310,3.1,3,0.42,4.02
24,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,0,1426,335,9.8,9,10.1,1.8,1,1.9,74.1,67.6,72.7,2.8,0,73.6,0,3.9,1400,210,64,31,320,1,0.7,0.13,0.92
25,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,0,1529,360,11.1,7.1,7.8,3.6,31,4,78.6,72.4,74.2,1.8,0,74.4,0,2.1,390,230,100,12,170,0.5,0.3,0.07,0
26,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,0,1325,311,8.3,9.2,10.2,1,0,1.2,69.4,63.4,68.6,2.6,0,70,0,10.3,3800,280,110,39,130,1.2,0.7,0.1,0.96
27,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,0,1434,337,12.4,8.2,8.8,1.1,3,1.3,77.1,70.1,74.6,2.5,0,76.1,0,1.2,210,160,140,19,120,0.6,0.5,0.12,0.62
