,0
id,int64
food_name,object
disposal_rate,int64
energy_KJ,int64
energy_Kcal,int64
moisture,float64
protein_by_amino_acid_composition,float64
protein,float64
fatty_acid_tria_silglycerol_equivalent,float64
cholesterol,int64
lipid,float64
available_carbohydrates_single_sugar,float64
available_carbohydrates_mass_meters,float64
available_carbohydrates_by_the_dispatch_method,float64
total_amount_of_dietary_fiber,float64
sugar_alcohol,float64
carbohydrate,float64
organic_acid,float64
ash,float64
sodium,int64
potassium,int64
calcium,int64
magnesium,int64
rin,int64
iron,float64
zinc,float64
copper,float64
manganese,float64
